Name,Date,Active cases
SiChuan,2020/2/17,336 
SiChuan,2020/2/16,347 
SiChuan,2020/2/15,350 
SiChuan,2020/2/14,348 
SiChuan,2020/2/13,346 
SiChuan,2020/2/12,343 
SiChuan,2020/2/11,331 
SiChuan,2020/2/10,324 
SiChuan,2020/2/9,314 
SiChuan,2020/2/8,303 
SiChuan,2020/2/7,301 
SiChuan,2020/2/6,289 
SiChuan,2020/2/5,276 
SiChuan,2020/2/4,267 
SiChuan,2020/2/3,239 
SiChuan,2020/2/2,219 
SiChuan,2020/2/1,203 
SiChuan,2020/1/31,175 
SiChuan,2020/1/30,140 
SiChuan,2020/1/29,106 
SiChuan,2020/1/28,90 
SiChuan,2020/1/27,69 
SiChuan,2020/1/26,44 
SiChuan,2020/1/25,28 
SiChuan,2020/1/24,15 
SiChuan,2020/1/23,8 
SiChuan,2020/1/22,5 
TaiWan,2020/6/1,9 
TaiWan,2020/5/31,12 
TaiWan,2020/5/30,14 
TaiWan,2020/5/29,15 
TaiWan,2020/5/28,14 
TaiWan,2020/5/27,15 
TaiWan,2020/5/26,18 
TaiWan,2020/5/25,19 
TaiWan,2020/5/24,20 
TaiWan,2020/5/23,23 
TaiWan,2020/5/22,26 
TaiWan,2020/5/21,35 
TaiWan,2020/5/20,35 
TaiWan,2020/5/19,35 
TaiWan,2020/5/18,35 
TaiWan,2020/5/17,38 
TaiWan,2020/5/16,44 
TaiWan,2020/5/15,46 
TaiWan,2020/5/14,50 
TaiWan,2020/5/13,58 
TaiWan,2020/5/12,61 
TaiWan,2020/5/11,65 
TaiWan,2020/5/10,68 
TaiWan,2020/5/9,73 
TaiWan,2020/5/8,79 
TaiWan,2020/5/7,87 
TaiWan,2020/5/6,94 
TaiWan,2020/5/5,98 
TaiWan,2020/5/4,98 
TaiWan,2020/5/3,98 
TaiWan,2020/5/2,102 
TaiWan,2020/5/1,99 
TaiWan,2020/4/30,101 
TaiWan,2020/4/29,112 
TaiWan,2020/4/28,116 
TaiWan,2020/4/27,133 
TaiWan,2020/4/26,142 
TaiWan,2020/4/25,148 
TaiWan,2020/4/24,158 
TaiWan,2020/4/23,168 
TaiWan,2020/4/22,184 
TaiWan,2020/4/21,202 
TaiWan,2020/4/20,213 
